"UNIVERSITY OF TECHNOLOGY, MAURITIUS",,,,,,,,,,,,,,,,,,,,,
SCHOOL OF INNOVATIVE TECHNOLOGIES AND ENGINEERING,,,,,,,,,,,,,,,,,,,,,
Academic Year 2025 Semester 2 and Academic Year 2025/2026 Semester 1,,,,,,,,,,,,,,,,,,,,,
Semester start date: 21 October 2025,,,,,,,,,,,,,,,,,,,,,
Last date for submission of Exemption: 10 November 2025,,,,,,,,,,,,,,,,,,,,,
Semester tentative end date/s: 01 February 2026 (Tentative) (week 12) & 22 February 2026 (week 15),,,,,,,,,,,,,,,,,,,,,
"Classes are conducted at BPML Building, La Tour Koenig and Practicals in Laboraties on UTM Campus",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lecture / Practicals,,
Dept,Programme,Programme Document Version,"Level Sem
e.g L1S2",Cohort,Semester Duration (15 / 12 Weeks),No. of Students,"Head Of Dept
SURNAME Name (Title)","Programme Director
SURNAME Name (Title)",PROGRAMME COORDINATOR,Module Code,Module Title,L + T/P,No. of Credits,Weightage,"Resource Person
SURNAME Name (Title)",FT/PT,"Face to Face
(Odd / Even Weeks?) ","Online Sessions
(Odd / Even Weeks?) ",Day,Time ,Venue
BISE,BSc (Hons) Software Engineering,8,L3S2,BSE/23A/FT1,15 Weeks,24,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),NARSOO Jeetendre (Dr) ,SEM2123C,Software Quality & Testing,2+1+7,6,50:50:00,RAMWODIN Loovesh (Mr),FT,Even,Odd,Tuesday,09:00 - 12:00,Lab G0.3
BISE,BSc (Hons) Software Engineering,8,L3S2,BSE/23A/FT1,15 Weeks,24,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),NARSOO Jeetendre (Dr) ,PROJ3105C,System Development Project (on going),,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,BSc (Hons) Software Engineering,8,L3S2,BSE/23A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),NARSOO Jeetendre (Dr) ,SCG2136C,Blockchain Systems,2+1+7,6,50:50:00,FOOGOOA Ravi (Dr),FT,Even,Odd,Tuesday,11.00 - 14.00,BPML 2.08
BISE,BSc (Hons) Software Engineering,8,L3S2,BSE/23A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),NARSOO Jeetendre (Dr) ,MGMT2108C,Technopreneurship ,2+1+7,6,50:50:00,NARSOO Jeetendre (Dr) ,FT,Odd,Even,Monday,09:00 - 12:00,Lab G0.4
BISE,BSc (Hons) Software Engineering,8,L3S2,BSE/23A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),NARSOO Jeetendre (Dr) ,SEM2123C,Software Quality & Testing,2+1+7,6,50:50:00,RAMWODIN Loovesh (Mr),FT,Even,Odd,Friday,13:00 - 16:00,Lab G1.2
BISE,BSc (Hons) Software Engineering,8,L3S2,BSE/23A/FT2,15 Weeks,23,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),NARSOO Jeetendre (Dr) ,PROJ3105C,System Development Project (on going),,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,BSc (Hons) Software Engineering,8,L3S1,BSE/23B/FT,15 Weeks,15,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),ASSOTALLY N A (Mrs),PROJ3105C,System Development Project (New),,12,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,BSc (Hons) Software Engineering,8,L3S1,BSE/23B/FT,15 Weeks,15,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),ASSOTALLY N A (Mrs),PROJ2119C,Work Placement,,6,100% CWK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BISE,BSc (Hons) Software Engineering,8,L3S1,BSE/23B/FT,15 Weeks,15,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),ASSOTALLY N A (Mrs),MCT2109C,Advanced Mobile Application Development,2+1+7,6,100% CWK,TULSI Ashwin (Mr),FT,Even,Odd,Tuesday,09:00 - 12:00,Lab G0.4
BISE,BSc (Hons) Software Engineering,8,L3S1,BSE/23B/FT,15 Weeks,15,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),ASSOTALLY N A (Mrs),MUL2120C,Computer Game Programming,2+1+7,6,100% CWK,DHUNY Riyad (Dr),FT,Full F2F,N/A,Friday,9:00 - 12:00,DML Lab
BISE,BSc (Hons) Software Engineering,8,L3S1,BSE/23B/FT,15 Weeks,15,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),ASSOTALLY N A (Mrs),WAT2142,Smart IoT Applications,2+1+7,6,100% CWK,LALOO Nassirah (Dr),FT,Even,Odd,Thursday,09:00 - 12:00,DML Lab
BISE,BSc (Hons) Software Engineering,8,L3S1,BSE/23B/FT,15 Weeks,15,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),ASSOTALLY N A (Mrs),SCG3126C,AI & Machine Learning Techniques,2+1+7,6,100% CWK,SUDDUL Geerish (Dr),FT,Even,Odd,Tuesday,13:00 - 16:00,Lab G1.2
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT1,15 Weeks,34,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),WAT2140C,Web Service Development,2+1+7,6,100% CWK,LUCHMUN Sadhveer Sharma (Mr),PT,Even,Odd,Saturday,12:00 - 15:00,BPML 2.08
BISE,BSc (Hons) Software Engineering,8,L2S2,BSE/24A/FT1,15 Weeks,34,SUDDUL Geerish (Dr.),SUDDUL Geerish (Dr),LUCHOO Mevin (Mr),SECU2130C,Software Security,2+1+7,6,100% CWK,BHURTUN Roshnee (Ms),PT,Even,Odd,Saturday,08:00 - 11:00,BPML 0.08
